X,Y,COUNTRY,STATE,NAME,PRODUCT,SIC,SIC2,SIC3,SIC4,NAICS,NAICS DESCR,WEB,LONGITUDE,LATITUDE,GlobalID
-149.9399171,61.1742671,United States of America,AK,"GREER TANK, INC.",STEEL SEPTIC & FUEL TANKS,3443,N/A,N/A,N/A,332420,METAL TANK (HEAVY GAUGE) MANUFACTURING,WWW.GREERTANK.COM,-149.9399171,61.1742671,11b6f815-2d9a-4ba9-ac2f-289110beccce
-68.5622212,45.3434636,United States of America,ME,FASTCO CORP.,"METAL FABRICATION, TANKS, PRESSURE VESSELS & PIPING SYSTEMS",3443,3499,3498,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.FASTCO.COM,-68.5622212,45.3434636,52b6815c-5eb7-4af2-97a4-0ab73a19c24e
-68.5033015,45.3699565,United States of America,ME,JOHNSTON DANDY CO.,COMPANY HEADQUARTERS & METAL FABRICATION,3499,N/A,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.JOHNSTONDANDY.COM,-68.5033015,45.3699565,1a52efe2-8368-4684-bc5e-5f6fe84fa5df
-67.7838736,46.1273222,United States of America,ME,"SMITH & WESSON, INC.",GUN COMPONENTS & HANDCUFFS,3484,3429,N/A,N/A,332994,SMALL ARMS MANUFACTURING,WWW.SMITH-WESSON.COM,-67.7838736,46.1273222,3928c2a6-350b-4a62-8eb9-42c3bcddb527
-159.5077617,21.9222773,United States of America,HI,"AQUA ENGINEERS, INC.","CONTRACT MANUFACTURING OF WASTEWATER & WATER BOOSTER PUMP STATIONS, WATER TREATMENT SYSTEMS & WATER STORAGE SYSTEMS",3272,3999,N/A,N/A,332710,MACHINE SHOPS,WWW.AQUAENGINEERS.COM,-159.5077617,21.9222773,9fec8d65-824c-4820-924b-52c095ed90c9
-157.8814177,21.3254384,United States of America,HI,"UNIVERSAL ASSOCIATES, INC.","METAL PLATE, STRUCTURAL & SHEET METAL FABRICATION, ANGLE IRON & TUBULAR ROLLING, METAL FORMING & SHEARING",3441,3443,3444,3316,332312,FABRICATED STRUCTURAL METAL MANUFACTURING,WWW.UMHAWAII.COM,-157.8814177,21.3254384,14fc7aae-e9b3-453b-9c91-63fda3d9ba70
-157.8917626,21.3248719,United States of America,HI,"HSI ELECTRIC, INC.","MACHINING & METAL PLATING & WELDING JOB SHOP & DISTRIBUTOR OF ELECTRICAL EQUIPMENT & SUPPLIES, INCLUDING MOTORS, DRIVES",3599,3479,5063,N/A,332710,MACHINE SHOPS,WWW.HSIELECTRIC.COM,-157.8917626,21.3248719,db9c721d-a592-420e-b77b-ee18bb374020
-157.8839976,21.3238665,United States of America,HI,"DANG MACHINE WORKS, INC., ED",WELDING & MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.EDDANGMACHINEWORKS.COM,-157.8839976,21.3238665,69acf0fd-13e6-49f1-ab65-7b416a8abe00
-157.8595025,21.3092172,United States of America,HI,"CARR DEVELOPMENT, LLC, STANFORD (H Q)","COMPANY HEADQUARTERS; GLASS, ALUMINUM & VINYL BUILDING PRODUCTS, INCLUDING DOORS, WINDOWS, SECURITY SCREENS",3442,3089,3211,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.STANFORDCARR.COM,-157.8595025,21.3092172,23edcf69-00ae-4257-8ae3-2b5ed4ddc87b
-158.0939459,21.3115171,United States of America,HI,"OCEANIC COS., INC.",INDUSTRIAL PIPES & WELDING JOB SHOP,3498,3599,N/A,N/A,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,WWW.OCEANICCOMPANIES.COM,-158.0939459,21.3115171,cc7281a3-9ebb-404d-a41e-864bc0596b36
-157.8889982,21.3284599,United States of America,HI,"UNIFAB INDUSTRIES, LLC",SHEET METAL FABRICATION,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.UNIFABIND.COM,-157.8889982,21.3284599,d819f055-6d36-417a-be32-414ba00f80da
-156.0188197,19.6887122,United States of America,HI,"BIG ISLAND WINDOWS, INC.","ALUMINUM SHOWER & SLIDING DOORS, WINDOWS, STOREFRONTS & MIRRORS",3442,N/A,N/A,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.BIGISLANDWINDOWS.COM,-156.0188197,19.6887122,55260254-b62c-4524-ad3b-5557c76042fa
-158.0951319,21.305856,United States of America,HI,BALL CORP.,ALUMINUM CANS,3411,N/A,N/A,N/A,332431,METAL CAN MANUFACTURING,WWW.BALL.COM,-158.0951319,21.305856,c95a3104-023f-4614-bc6b-4b41e9e5c8f4
-157.8998283,21.3376973,United States of America,HI,MOO'S MACHINE WORKS,"HYDRAULICS, WELDING & MACHINING JOB SHOP",3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.MOOSMACHINEWORKS.COM,-157.8998283,21.3376973,739055f5-57db-4352-ae19-e8d8f7dbf754
-158.0047587,21.4224807,United States of America,HI,"COASTAL WINDOWS, INC.",VINYL WINDOWS & DOORS,3089,N/A,N/A,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.COASTALWINDOWS.COM,-158.0047587,21.4224807,59d8ffd0-ff0f-41aa-a4cc-39cbebe16ffa
-157.9116313,21.3351848,United States of America,HI,"HYDRA-AIR PACIFIC, INC.",CORPORATE HEADQUARTERS & HYDRAULIC HOSES,3492,N/A,N/A,N/A,332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,WWW.HYDRAAIRPACIFIC.COM,-157.9116313,21.3351848,a3a16db9-4084-49bd-b786-2a1cb5d4fdf7
-158.1175783,21.3212031,United States of America,HI,MARISCO LTD.,MARINE & INDUSTRIAL REPAIR & MACHINE SHOP,3731,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.MARISCO.NET,-158.1175783,21.3212031,84f38881-66c0-4e5d-8673-675a14ea7282
-157.8595044,21.2972843,United States of America,HI,"ALOHA KEY, AWARDS & GIFTS","KEY BLANKS, LOCKS, COMMERCIAL, RESIDENTIAL SAFES, AWARDS, NAME BADGES, RUBBER STAMPS, MEDALS & COINS",3499,3953,3999,3479,332812,"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS",WWW.ALOHAKEY.COM,-157.8595044,21.2972843,e19bee0b-9feb-4a37-a744-3c832ba50345
-96.1757506,48.1024059,United States of America,MN,"FORSBERG'S, INC.",DRY GRANULAR SEPARATION MACHINERY,3569,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.FORSBERGS.COM,-96.1757506,48.1024059,a118ed21-51a0-4b73-9772-22d38314aade
-95.619419,48.3007937,United States of America,MN,"MACHINEWELL, INC.","CORPORATE HEADQUARTERS & CNC TURNING, MILLING & MACHINING JOB SHOP",3451,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.MACHINEWELL.COM,-95.619419,48.3007937,15029074-53ca-41ae-8dba-ff6c34919ebd
-94.950388,47.528212,United States of America,MN,"WELLS CO., ANDREW","CUSTOM NUTS, BOLTS, SCREWS & RIVETS",3452,N/A,N/A,N/A,332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",WWW.WELLTECH.COM,-94.950388,47.528212,f884d632-bfb2-422a-9e77-b7d0fdb1c059
-94.9503801,47.528212,United States of America,MN,"WELLS TECHNOLOGY, INC.",PRECISION & CNC MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.WELLSTECH.COM,-94.9503801,47.528212,e6d1b1a6-0aac-4fec-b48c-07d7693d1b70
-108.3675096,44.8402509,United States of America,,MILLER'S FABRICATION & CONSTRUCTION,STRUCTURAL STEEL FABRICATION & BORE WELDING & MACHINING JOB SHOP,3441,N/A,N/A,N/A,332312,FABRICATED STRUCTURAL METAL MANUFACTURING,WWW.MILLERSFAB.COM,-108.3675096,44.8402509,d6c39f52-9714-4f1e-bc91-6bcb6b9419af
-106.9660204,44.7726921,United States of America,,"CRAFTCO METALS SERVICES, INC.","METAL FABRICATION & PRECISION, CNC & GENERAL MACHINING JOB SHOP",3499,3599,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.CRAFTCOMETALS.COM,-106.9660204,44.7726921,7dece0eb-0eb7-436f-90a9-d4bfa3a2e013
-111.0176752,42.9827913,United States of America,,"FREEDOM ARMS, INC.",FIREARMS & ALUMINUM CASES,3484,N/A,N/A,N/A,332994,SMALL ARMS MANUFACTURING,WWW.FREEDOMARMS.COM,-111.0176752,42.9827913,d5109f50-8f0b-40b3-b7e0-915b39597bb9
-106.4734003,42.8480584,United States of America,,"AL'S RIG SERVICE, LLC","GENERAL MACHINING & WELDING JOB SHOP, INCLUDING OILFIELD REPAIR",3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.ALSRIGSERVICE.COM,-106.4734003,42.8480584,b343f62d-28d5-4569-9715-afad896e1999
-111.0017096,41.349508,United States of America,,"NORTHSTAR, INC.",PIPE FABRICATION,3498,N/A,N/A,N/A,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,WWW.NORTHSTARLNG.COM,-111.0017096,41.349508,58cc9274-8add-4f55-a7e7-564f2bbfcee5
-109.2342439,41.6180827,United States of America,,EXTERRAN,METAL FABRICATION,3499,N/A,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.HANOVER-CO.COM,-109.2342439,41.6180827,e45ffe0d-5a73-457c-a5ec-e4b596cb4c44
-106.9335911,44.7770276,United States of America,,"L & H INDUSTRIAL, INC.",CHROME PLATING & GRINDING JOB SHOP,3471,3599,N/A,N/A,332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING AND COLORING",WWW.LNH.NET,-106.9335911,44.7770276,ae63f0a1-0a35-469c-9877-8336f39cd2b9
-106.9553273,44.8043666,United States of America,,KENNON PRODUCTS,CANVAS AIRCRAFT COVERS & SUICIDE PREVENTION DOORS,3728,2394,3442,N/A,332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,WWW.MILITARYAIRCRAFTCOVERS.COM,-106.9553273,44.8043666,0a9f53d0-1b45-4bf9-b6ac-453a53a19eb9
-121.6187487,39.1344875,United States of America,,CHIPCO MANUFACTURING COMPANY INC,"TURBOCHARGER COMPONENT & PRECISION MACHINING JOB SHOP, INCLUDING 5 AXIS MACHINING, MILLING, TURNING, EDM & GRINDING",3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.CHIPCOMANUFACTURING.COM,-121.6187487,39.1344875,915e1fbb-fa27-4341-a329-2cf13acbe1fb
-121.6730516,39.1371974,United States of America,,GREAT AMERICAN GUNSTOCK,GUNSTOCKS,3484,N/A,N/A,N/A,332994,SMALL ARMS MANUFACTURING,WWW.GUNSTOCKS.COM,-121.6730516,39.1371974,f961a226-b338-400f-a461-a9bc8f227b54
-121.5664449,39.1068723,United States of America,,"WINDSOR REPUBLIC DOOR, INC.",METAL GARAGE DOORS,3442,N/A,N/A,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.WINDSORDOOR.COM,-121.5664449,39.1068723,77b4a32d-698f-4011-9fd1-da162650384b
-116.9750826,32.5614998,United States of America,,"HONEYWELL, INC.",GAS VALVES,3491,N/A,N/A,N/A,332911,INDUSTRIAL VALVE MANUFACTURING,WWW.HONEYWELL.COM,-116.9750826,32.5614998,8d2dd374-a445-4cf4-b259-a23d0979ef12
-117.0290204,32.5959033,United States of America,,"HYSPAN PRECISION PRODUCTS, INC.",CORPORATE HEADQUARTERS & FLEXIBLE TUBULAR METAL PRODUCTS,3441,3499,N/A,N/A,332312,FABRICATED STRUCTURAL METAL MANUFACTURING,WWW.HYSPAN.COM,-117.0290204,32.5959033,4e0cb125-3900-482c-8220-38c787465726
-117.029706,32.5959281,United States of America,,"LYON TECHNOLOGIES, INC.","PRECISION SHEET METAL FABRICATION OF BIRD INCUBATORS, SMALL ANIMAL INTENSIVE CARE UNITS, VETERINARY SUPPLIES",3444,3499,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.LYONUSA.COM,-117.029706,32.5959281,9461d34b-04d1-447a-b6d4-cd153b2a8730
-117.081647,32.5987821,United States of America,,"DELPHINUS ENGINEERING, INC.",WELDING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.DELPHINUS.COM,-117.081647,32.5987821,cca0638e-bb3b-4d50-b8c6-cbd95821df53
-117.0169697,32.5936801,United States of America,,"G C E INDUSTRIES, INC.","CORPORATE HEADQUARTERS & PRECISION WELDING, FORMING & GROUND SUPPORT EQUIPMENT",3444,3599,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.GCEINDUSTRIES.COM,-117.0169697,32.5936801,53b2f6ab-62e2-4720-85f8-33c52b96a3ca
-116.9323116,32.5591133,United States of America,,"SPEC BUILT SYSTEMS, INC.",MILITARY FURNITURE,2599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.SPECBUILT.COM,-116.9323116,32.5591133,f0cb9451-7a7b-477e-a881-528376eff3b9
-117.0290295,32.597435,United States of America,,"ROTAD, INC.","FOG MACHINES & THEATER, FILM & TV PRODUCTS",3559,N/A,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.ROTADINC.COM,-117.0290295,32.597435,fe505fe1-3246-4700-a1ce-aac9c966a5ca
-116.9552669,32.5728871,United States of America,,"NORMAN MFG., R. S.",PRECISION MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.GPRSTABILIZER.COM,-116.9552669,32.5728871,b01a2252-5c6a-4721-8f64-d28f55b63c5b
-117.0875541,32.653416,United States of America,,PLENUMS PLUS,SHEET METAL FABRICATION,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.PLENUMSPLUS.COM,-117.0875541,32.653416,71d1eb44-a14d-45f4-a10c-2644080d7b8a
-118.1141189,34.648435,United States of America,,"NATIONAL METAL STAMPINGS, INC.",METAL STAMPINGS,3469,N/A,N/A,N/A,332116,METAL STAMPING,WWW.NATIONALMETAL.COM,-118.1141189,34.648435,42a75b8c-198f-41df-b080-80a91e10a6f9
-118.1274997,34.7115339,United States of America,,"PACIFIC SEISMIC PRODUCTS, INC.",EARTHQUAKE-ACTIVATED AUTOMATIC GAS SHUT-OFF VALVES & RELATED SEISMIC DEVICES,3492,N/A,N/A,N/A,332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,WWW.4GASOFF.NET,-118.1274997,34.7115339,95e3c0ae-4fe2-410c-b2be-8d6dddcf991f
-118.0786908,34.5898035,United States of America,,WATTS ANDERSON-BARROWS METALS,METAL & BRASS PLUMBING PARTS,3499,N/A,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.WATTSIND.COM,-118.0786908,34.5898035,1d367dab-b2c0-40f2-bf08-4c21657a9141
-121.7929702,39.7104287,United States of America,,NORFIELD INDUSTRIES,"PRE-HUNG DOOR FABRICATION MACHINERY, FIXTURES, TOOLING & DOOR SHOP SUPPLIES & POWER, AIR, WOODWORKING & CABINETRY TOOLS",3559,3569,3423,N/A,332710,MACHINE SHOPS,WWW.NORFIELD.COM,-121.7929702,39.7104287,1afdf6dd-befd-4273-8f0f-3ca632c6eb9e
-121.570237,39.4771793,United States of America,,METAL WORKS,STRUCTURAL STEEL FABRICATION FOR INDUSTRIAL & COMMERCIAL APPLICATIONS,3441,N/A,N/A,N/A,332312,FABRICATED STRUCTURAL METAL MANUFACTURING,WWW.MTLWKS.COM,-121.570237,39.4771793,8586f8a6-3306-40f4-b943-2b21ba11f290
-123.3415742,39.3916836,United States of America,,METALFX,SHEET METAL FABRICATION,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.METALFX.COM,-123.3415742,39.3916836,f1f581ba-edc8-436d-b1c0-ca81772f547d
-123.2083809,39.1985041,United States of America,,FACTORY PIPE PRODUCTS,METAL EXHAUST PIPES,3714,N/A,N/A,N/A,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,WWW.FACTORYPIPE.COM,-123.2083809,39.1985041,549e1402-12c1-4a5b-a362-0d16879b42b5
-121.8686011,39.737543,United States of America,,"THOMAS WELDING & MACHINE, INC.",WELDING & PRECISION MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.THOMASWELDING.COM,-121.8686011,39.737543,de834155-b65f-486a-8519-1bdfbf4f1f58
-121.8576416,39.8051879,United States of America,,"TRANSFER FLOW, INC.",FUEL TANKS,3443,N/A,N/A,N/A,332420,METAL TANK (HEAVY GAUGE) MANUFACTURING,WWW.TRANSFERFLOW.COM,-121.8576416,39.8051879,c9c21de4-2a71-4300-bba7-a132cdab1747
-121.56801,39.4985024,United States of America,,R C B S OPERATIONS,RELOADING EQUIPMENT,3559,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.RCBS.COM,-121.56801,39.4985024,98af6177-a07a-4f3a-af27-f8ec9f13ee6f
-122.5353125,41.7278106,United States of America,,"KNUTH HINGE CO., INC.","CUSTOM PRECISION HINGES, LATCHES & MACHINED PRODUCTS",3429,N/A,N/A,N/A,332510,HARDWARE MANUFACTURING,WWW.KNUTHHINGE.COM,-122.5353125,41.7278106,445c4dc5-c3e4-4a10-a6d6-65a766aac6bb
-122.8069317,40.6977406,United States of America,,"FABTRON, INC.",GENERAL MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.FABTRON-USA.COM,-122.8069317,40.6977406,0c8124ea-3326-479e-a2d7-7dca8462dc40
-122.3875203,40.5576264,United States of America,,"MACHINE WORLD, INC.",MACHINE PARTS,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.MACHINEWORLDINC.COM,-122.3875203,40.5576264,a49be847-8cac-413e-a54f-ca43bccdb258
-122.3846401,40.6313862,United States of America,,"PELLA, INC., TED",LABORATORY EQUIPMENT & SUPPLIES FOR MICROSCOPY RESEARCH LABS,3821,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.TEDPELLA.COM,-122.3846401,40.6313862,b21b40d0-5c0c-4ba6-8940-67709c929f18
-122.386511,40.6255879,United States of America,,WONDER METALS CORP.,"LOUVERS, VENTS, ACTUATORS & DAMPERS, INCLUDING BRICK VENTS & ACOUSTICAL LOUVERS",3444,N/A,N/A,N/A,332116,METAL STAMPING,WWW.WONDERMETALS.COM,-122.386511,40.6255879,785f02a5-1b40-4432-8268-021082ef4089
-123.1172545,44.0564023,United States of America,,"PACIFIC METAL FAB, L.L.C.",METAL FABRICATION,3499,N/A,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.AKDCO.COM,-123.1172545,44.0564023,aeb767e6-8a00-410a-be57-2d4a82c2b73d
-123.2952224,42.4305,United States of America,,"OREGON SWISS PRECISION, INC.",SCREW MACHINE PRODUCTS,3451,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.OREGONSWISS.COM,-123.2952224,42.4305,eac440eb-4952-4d77-af01-ec312c54bb35
-123.0554948,44.9478727,United States of America,,"HANARD MACHINE, INC.",MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.HANARD.COM,-123.0554948,44.9478727,43cbf3f3-7d7e-4535-8863-a817a84cbf81
-122.9784517,44.0596797,United States of America,,METAL PRODUCTS CO.,METAL STAMPINGS,3469,N/A,N/A,N/A,332116,METAL STAMPING,WWW.METALPRODUCTS.COM,-122.9784517,44.0596797,fcff7370-3da0-4d95-ba31-afe23772b6ed
-122.814477,44.807256,United States of America,,"PHILIPS PRODUCTS, INC.",METAL DOORS & VINYL WINDOWS,3442,3089,N/A,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.PHILIPSPRODUCTS.COM,-122.814477,44.807256,977dc316-3dce-4fae-bb70-f66299e9336c
-121.8816865,42.5119692,United States of America,,JELD-WEN DOOR SYSTEMS,"STEEL, WOODEN & FIBERGLASS DOORS",3442,3089,2431,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.JELD-WEN.COM,-121.8816865,42.5119692,0547a0fb-3518-4a30-802c-803376c9df19
-123.0629494,44.6551398,United States of America,,ATI WAH CHANG,"METAL FABRICATION, RAMMED GRAPHITE CASTINGS, LABORATORY SERVICES & MACHINE SHOP",3499,N/A,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.WAHCHANG.COM,-123.0629494,44.6551398,df78f37c-d227-496f-87a4-87a30d53075c
-124.2111644,43.3709551,United States of America,,KNUTSON DIESEL & MACHINE SHOP,GENERAL MACHINING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.KNUTSONTOWBOAT.COM,-124.2111644,43.3709551,26204e10-549b-4c57-b71a-0251110d67e1
-121.2891829,44.0449028,United States of America,,"BEND PLATING, INC.",GOLD & CHROME ELECTROPLATING,3471,N/A,N/A,N/A,332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING AND COLORING",WWW.BENDPLATING.COM,-121.2891829,44.0449028,e79b4447-adf0-4ede-914a-86afad9e77e0
